Date,Week,Month,Quarter,Year,SKU_ID,Product_Name,Category,Warehouse,Region,Actual_Demand,Forecast_Demand,Forecast_Error_Pct,MAPE,Model_Used,Confidence_Interval_Low,Confidence_Interval_High,Inventory_On_Hand,Inventory_In_Transit,Safety_Stock,Reorder_Point,Days_Of_Supply,Stockout_Risk,Overstock_Risk,Unit_Cost,Selling_Price,Revenue_Forecast,Gross_Margin_Pct,Lead_Time_Days,Supplier,Supplier_Reliability_Pct,Elasticity,Promo_Planned,Promo_Lift_Pct,External_Factor,Trend_Direction,Seasonality_Index,ABC_Classification
2024-09-12,37,September,Q3,2024,SKU-1010,Apparel Item 010,Apparel,Central Depot,North America,1316,1348,2.4,21.02,LSTM,1145,1550,9665,1261,1851,3210,220.3,Low,High,30.81,77.02,103820.28,46.7,31,Supplier_11,97.1,-2.61,0,46.9,None,Stable,0.714,C
2023-07-18,29,July,Q3,2023,SKU-1009,Apparel Item 009,Apparel,APAC Fulfillment,Asia Pacific,2450,1999,18.4,9.18,ARIMA,1699,2298,1372,348,535,1188,16.8,Low,Low,23.47,58.68,117303.67,37.4,8,Supplier_14,73.6,-1.45,1,42.8,Holiday,Downward,0.916,A
2024-04-17,16,April,Q2,2024,SKU-1007,Home & Garden Item 007,Home & Garden,East Coast Hub,Latin America,1699,1590,6.4,20.84,LSTM,1351,1828,2813,191,743,1422,49.7,Low,Medium,67.77,169.42,269370.56,29.0,12,Supplier_15,71.8,-1.68,0,35.8,Competitor Promo,Upward,1.288,B
2024-11-12,46,November,Q4,2024,SKU-1009,Automotive Item 009,Automotive,Central Depot,Latin America,4148,4992,20.3,18.98,LSTM,4243,5740,7605,1884,4819,10902,55.0,Medium,Low,9.81,24.53,122458.58,33.1,44,Supplier_11,95.8,-0.3,0,35.1,Holiday,Stable,0.779,A
2023-02-15,7,February,Q1,2023,SKU-1024,Home & Garden Item 024,Home & Garden,European DC,Asia Pacific,5173,6320,22.2,12.66,Ensemble,5372,7267,7103,1666,1396,3982,41.2,Low,High,178.22,445.55,2815882.43,37.1,15,Supplier_14,71.6,-0.0,0,53.3,Holiday,Stable,1.213,B
2024-05-25,21,May,Q2,2024,SKU-1013,Electronics Item 013,Electronics,East Coast Hub,Latin America,6671,6813,2.1,13.8,LSTM,5791,7834,5915,762,2472,5140,26.6,Low,Low,7.78,19.45,132496.3,35.6,12,Supplier_14,91.3,-2.59,0,0,Holiday,Downward,1.176,B
2022-05-12,19,May,Q2,2022,SKU-1005,Food & Beverage Item 005,Food & Beverage,West Coast Hub,Asia Pacific,165,139,15.8,15.41,LSTM,118,159,8526,102,117,232,1550.2,Low,High,115.49,288.71,40131.29,20.3,21,Supplier_15,72.0,-1.02,0,0,None,Stable,1.229,A
2024-03-04,10,March,Q1,2024,SKU-1020,Sports Item 020,Sports,European DC,North America,4015,4043,0.7,15.03,Ensemble,3436,4649,9530,1213,6565,12319,71.2,Medium,Low,143.34,358.35,1448821.01,45.9,43,Supplier_04,86.2,-0.43,1,16.4,Competitor Promo,Stable,1.268,A
2022-07-19,29,July,Q3,2022,SKU-1027,Apparel Item 027,Apparel,European DC,Latin America,2106,2176,3.3,17.72,XGBoost,1849,2502,8379,1534,514,865,119.4,Low,High,5.56,13.9,30251.81,25.6,5,Supplier_07,73.8,-1.21,0,0,Supply Shock,Downward,0.911,C
2023-04-06,14,April,Q2,2023,SKU-1005,Apparel Item 005,Apparel,West Coast Hub,North America,7693,6253,18.7,6.74,Ensemble,5315,7190,1317,1572,12625,21343,5.1,High,Low,89.55,223.88,1399904.81,56.2,34,Supplier_15,78.4,-2.26,0,0,Supply Shock,Downward,1.299,B
2024-05-23,21,May,Q2,2024,SKU-1025,Home & Garden Item 025,Home & Garden,East Coast Hub,Middle East & Africa,5125,5656,10.4,22.2,XGBoost,4807,6504,6931,895,6687,14374,40.6,Medium,Low,190.68,476.7,2696223.22,53.9,45,Supplier_07,88.2,-1.99,1,0,Holiday,Stable,1.185,A
2024-08-18,33,August,Q3,2024,SKU-1003,Automotive Item 003,Automotive,Central Depot,North America,1294,1170,9.6,6.32,XGBoost,994,1345,3198,823,562,1467,74.1,Low,High,108.86,272.15,318418.02,20.6,21,Supplier_08,79.0,-1.22,1,0,Economic,Downward,0.778,B
2024-05-26,21,May,Q2,2024,SKU-1022,Automotive Item 022,Automotive,APAC Fulfillment,Europe,1933,1915,0.9,4.43,Prophet,1627,2202,8002,1831,1149,2179,124.2,Low,High,105.0,262.49,502664.88,34.8,16,Supplier_06,84.8,-0.18,1,0,Holiday,Stable,1.172,A
2023-03-23,12,March,Q1,2023,SKU-1024,Apparel Item 024,Apparel,European DC,Asia Pacific,2163,2643,22.2,17.95,Ensemble,2246,3039,882,1152,3213,5880,12.2,High,Low,78.33,195.83,517578.77,61.4,37,Supplier_12,91.6,-1.36,0,0,Competitor Promo,Upward,1.296,A
2023-09-23,38,September,Q3,2023,SKU-1002,Home & Garden Item 002,Home & Garden,East Coast Hub,North America,1225,1492,21.8,11.75,LSTM,1268,1715,4078,1693,1058,1833,99.9,Low,Medium,167.82,419.56,625984.4,60.4,19,Supplier_10,91.2,-0.07,1,0,Competitor Promo,Stable,0.703,B
2022-11-18,46,November,Q4,2022,SKU-1022,Electronics Item 022,Electronics,European DC,Latin America,4200,3873,7.8,21.66,LSTM,3292,4453,9943,930,1699,4079,71.0,Low,High,173.93,434.83,1684115.47,31.5,17,Supplier_14,72.8,-0.41,0,0,Competitor Promo,Upward,0.798,A
2024-11-30,48,November,Q4,2024,SKU-1005,Electronics Item 005,Electronics,APAC Fulfillment,Europe,4138,5248,26.8,12.98,Holt-Winters,4460,6035,4022,232,4095,7405,29.2,High,Low,57.97,144.93,760580.88,61.4,24,Supplier_08,75.7,-0.81,0,55.8,Weather,Upward,0.852,A
2024-06-14,24,June,Q2,2024,SKU-1012,Healthcare Item 012,Healthcare,APAC Fulfillment,Latin America,1796,1766,1.7,18.47,Holt-Winters,1501,2030,8217,1274,1167,2364,137.3,Low,High,169.14,422.85,746749.15,41.0,20,Supplier_09,84.8,-2.09,1,0,Economic,Stable,1.084,C
2024-09-04,36,September,Q3,2024,SKU-1002,Apparel Item 002,Apparel,APAC Fulfillment,North America,1355,1287,5.0,23.41,Ensemble,1093,1480,4812,1450,742,2051,106.5,Low,High,192.54,481.35,619494.11,60.9,29,Supplier_03,93.2,-1.08,0,0,None,Downward,0.729,A
2022-09-30,39,September,Q3,2022,SKU-1024,Office Item 024,Office,APAC Fulfillment,Middle East & Africa,2946,2406,18.3,8.94,ARIMA,2045,2766,8880,42,6551,10970,90.4,Medium,Low,171.9,429.76,1033990.72,30.3,45,Supplier_07,97.2,-2.01,0,53.9,Weather,Stable,0.7,A
2022-07-17,28,July,Q3,2022,SKU-1008,Home & Garden Item 008,Home & Garden,APAC Fulfillment,Asia Pacific,228,227,0.4,15.8,LSTM,192,261,3652,895,101,222,480.5,Low,High,169.41,423.51,96137.68,22.4,16,Supplier_12,98.7,-0.74,1,13.5,Holiday,Downward,0.921,B
2022-12-04,48,December,Q4,2022,SKU-1024,Office Item 024,Office,West Coast Hub,Middle East & Africa,323,266,17.6,12.32,LSTM,226,305,8892,771,299,632,825.9,Low,High,191.55,478.89,127383.99,26.9,31,Supplier_11,97.3,-2.41,0,0,Competitor Promo,Upward,0.866,B
2023-04-10,15,April,Q2,2023,SKU-1027,Apparel Item 027,Apparel,APAC Fulfillment,Middle East & Africa,2185,2609,19.4,18.4,XGBoost,2217,3000,3132,501,1696,3298,43.0,Medium,Low,104.37,260.93,680776.33,64.1,22,Supplier_02,75.2,-0.05,0,0,Economic,Downward,1.297,A
2023-10-01,39,October,Q4,2023,SKU-1001,Electronics Item 001,Electronics,West Coast Hub,Europe,3127,3920,25.4,20.36,Holt-Winters,3332,4508,3521,508,3550,6468,33.8,High,Low,92.43,231.07,905794.62,29.8,28,Supplier_04,78.7,-1.1,0,0,Supply Shock,Stable,0.7,A
2024-11-15,46,November,Q4,2024,SKU-1018,Office Item 018,Office,Central Depot,Europe,3992,4601,15.3,24.12,Holt-Winters,3910,5291,7684,1248,7384,12839,57.7,Medium,Low,152.89,382.23,1758618.72,28.0,41,Supplier_01,93.7,-1.51,1,37.1,Weather,Upward,0.79,B
2022-06-27,26,June,Q2,2022,SKU-1028,Office Item 028,Office,West Coast Hub,Europe,4862,4356,10.4,8.3,ARIMA,3702,5009,9296,1356,3458,8157,57.4,Low,Low,100.11,250.26,1090154.23,59.0,29,Supplier_15,78.0,-1.83,0,0,Competitor Promo,Downward,1.023,B
2022-07-08,27,July,Q3,2022,SKU-1019,Healthcare Item 019,Healthcare,APAC Fulfillment,Latin America,1982,1862,6.1,19.91,LSTM,1582,2141,6948,333,2166,3685,105.2,Low,Medium,98.91,247.28,460427.05,57.6,23,Supplier_15,94.6,-1.67,0,0,Competitor Promo,Stable,0.967,A
2024-08-06,32,August,Q3,2024,SKU-1003,Home & Garden Item 003,Home & Garden,European DC,North America,381,419,10.0,17.31,LSTM,356,481,9913,1304,100,201,780.6,Low,High,171.44,428.59,179580.14,20.5,8,Supplier_03,75.0,-1.68,1,46.8,Economic,Stable,0.824,A
2024-06-25,26,June,Q2,2024,SKU-1016,Food & Beverage Item 016,Food & Beverage,East Coast Hub,Latin America,4613,6578,42.6,24.71,XGBoost,5591,7564,8930,867,5231,10459,58.1,Medium,Low,47.01,117.51,772999.19,60.4,34,Supplier_06,94.2,-2.08,0,0,None,Stable,1.028,C
2023-09-15,37,September,Q3,2023,SKU-1019,Office Item 019,Office,European DC,Middle East & Africa,2912,2540,12.8,21.76,LSTM,2159,2921,3432,1026,2489,6371,35.4,Medium,Low,38.97,97.42,247456.76,41.2,40,Supplier_11,89.9,-1.59,0,46.9,Competitor Promo,Downward,0.711,B
2023-08-11,32,August,Q3,2023,SKU-1010,Office Item 010,Office,European DC,Asia Pacific,3701,3564,3.7,6.72,Ensemble,3029,4098,9502,228,1126,2606,77.0,Low,High,46.02,115.04,409996.18,30.0,12,Supplier_03,75.0,-0.06,0,0,Holiday,Upward,0.807,A
2024-05-13,20,May,Q2,2024,SKU-1012,Food & Beverage Item 012,Food & Beverage,Central Depot,Asia Pacific,5826,5205,10.7,24.26,Holt-Winters,4424,5985,9371,1319,5197,9081,48.3,Medium,Low,153.03,382.58,1991345.44,40.0,20,Supplier_02,78.3,-1.29,1,0,Weather,Downward,1.222,B
2024-10-03,40,October,Q4,2024,SKU-1014,Healthcare Item 014,Healthcare,East Coast Hub,North America,62,46,25.8,3.13,XGBoost,39,52,8229,647,12,24,3981.8,Low,High,137.35,343.38,15795.28,43.7,6,Supplier_14,90.8,-0.97,1,0,Supply Shock,Stable,0.7,C
2023-05-06,18,May,Q2,2023,SKU-1019,Healthcare Item 019,Healthcare,West Coast Hub,Middle East & Africa,4397,4423,0.6,6.5,Prophet,3759,5086,3667,1079,7792,13947,25.0,High,Low,152.34,380.85,1684492.34,40.1,42,Supplier_07,86.1,-2.37,1,0,None,Upward,1.248,B
2024-11-16,46,November,Q4,2024,SKU-1003,Office Item 003,Office,West Coast Hub,Europe,1203,1027,14.6,9.65,LSTM,872,1181,6207,1655,682,1684,154.8,Low,High,109.55,273.88,281270.37,57.3,25,Supplier_10,94.2,-1.1,0,0,Competitor Promo,Upward,0.794,B
2022-09-30,39,September,Q3,2022,SKU-1003,Electronics Item 003,Electronics,West Coast Hub,Asia Pacific,1423,1593,11.9,6.06,Ensemble,1354,1831,499,1484,1487,3621,10.5,High,Low,120.98,302.45,481796.48,35.8,45,Supplier_09,81.4,-2.54,0,0,Supply Shock,Stable,0.7,A
2024-12-30,1,December,Q4,2024,SKU-1002,Electronics Item 002,Electronics,West Coast Hub,Middle East & Africa,2706,2973,9.9,13.09,Ensemble,2527,3418,8819,138,3823,6438,97.8,Low,Low,91.08,227.7,676938.37,64.2,29,Supplier_01,80.4,-1.27,0,35.1,None,Downward,1.0,A
2023-03-21,12,March,Q1,2023,SKU-1001,Automotive Item 001,Automotive,East Coast Hub,Europe,1565,1358,13.2,7.56,XGBoost,1154,1561,4199,1138,509,1082,80.5,Low,High,87.2,217.99,296028.31,51.2,11,Supplier_08,75.4,-1.95,0,15.6,None,Stable,1.294,B
2022-06-16,24,June,Q2,2022,SKU-1006,Home & Garden Item 006,Home & Garden,European DC,Europe,2634,3002,14.0,15.79,XGBoost,2551,3452,7742,974,939,2168,88.2,Low,High,75.41,188.52,565941.64,54.4,14,Supplier_13,81.5,-0.9,0,0,Competitor Promo,Upward,1.079,C
2023-09-05,36,September,Q3,2023,SKU-1026,Sports Item 026,Sports,APAC Fulfillment,Middle East & Africa,2276,2007,11.8,11.86,Holt-Winters,1705,2308,135,1910,327,630,1.8,High,Low,155.86,389.64,782011.17,51.5,4,Supplier_03,92.7,-0.07,0,0,Economic,Upward,0.729,B
2022-02-28,9,February,Q1,2022,SKU-1009,Office Item 009,Office,Central Depot,Europe,4465,4915,10.1,24.8,XGBoost,4177,5652,3697,1266,4536,7661,24.8,High,Low,77.44,193.61,951576.43,45.4,21,Supplier_02,90.8,-1.54,1,0,Weather,Upward,1.255,A
2024-05-29,22,May,Q2,2024,SKU-1009,Healthcare Item 009,Healthcare,European DC,North America,4166,5731,37.6,5.12,XGBoost,4871,6590,3882,1519,354,1048,28.0,Low,High,187.13,467.82,2681063.97,22.7,5,Supplier_14,83.8,-1.74,1,44.6,Supply Shock,Downward,1.159,A
2022-03-21,12,March,Q1,2022,SKU-1028,Automotive Item 028,Automotive,European DC,Middle East & Africa,726,856,17.9,22.49,ARIMA,727,984,9737,317,44,116,402.4,Low,High,77.96,194.9,166831.2,54.3,3,Supplier_15,71.1,-1.97,0,0,Competitor Promo,Downward,1.294,C
2022-06-15,24,June,Q2,2022,SKU-1011,Automotive Item 011,Automotive,West Coast Hub,Asia Pacific,3503,3376,3.6,7.89,XGBoost,2869,3882,9591,1933,3451,8705,82.1,Low,Low,46.93,117.33,396110.88,39.6,45,Supplier_03,76.2,-2.62,0,36.8,None,Stable,1.084,B
2022-06-21,25,June,Q2,2022,SKU-1006,Automotive Item 006,Automotive,East Coast Hub,Asia Pacific,4182,3487,16.6,11.98,XGBoost,2963,4010,3417,1202,617,1453,24.5,Low,High,121.54,303.85,1059529.82,61.0,6,Supplier_08,70.4,-0.79,1,0,Supply Shock,Upward,1.054,A
2024-06-02,22,June,Q2,2024,SKU-1026,Sports Item 026,Sports,APAC Fulfillment,North America,2365,3040,28.5,3.47,Prophet,2584,3495,8501,50,2120,4800,107.8,Low,Medium,162.33,405.84,1233742.2,50.9,34,Supplier_10,93.0,-2.31,0,0,Economic,Upward,1.141,C
2024-06-21,25,June,Q2,2024,SKU-1028,Healthcare Item 028,Healthcare,Central Depot,Europe,916,1006,9.8,3.72,XGBoost,855,1156,3065,96,913,2073,100.4,Low,Medium,5.46,13.65,13730.0,34.4,38,Supplier_14,71.5,-0.19,0,0,Weather,Downward,1.049,B
2022-04-20,16,April,Q2,2022,SKU-1008,Automotive Item 008,Automotive,Central Depot,Asia Pacific,4956,4785,3.5,24.11,Ensemble,4067,5502,9037,1789,1211,2367,54.7,Low,High,55.64,139.09,665535.12,30.9,7,Supplier_14,82.4,-0.03,1,0,Weather,Stable,1.285,A
2024-02-03,5,February,Q1,2024,SKU-1008,Office Item 008,Office,East Coast Hub,Asia Pacific,2079,1999,3.8,11.03,ARIMA,1699,2298,3687,1196,376,653,53.2,Low,High,78.59,196.48,392755.21,49.2,4,Supplier_05,77.9,-1.83,0,0,Holiday,Upward,1.166,A
2023-11-17,46,November,Q4,2023,SKU-1001,Healthcare Item 001,Healthcare,APAC Fulfillment,North America,1718,1741,1.3,21.19,XGBoost,1479,2002,5899,1318,340,569,103.0,Low,High,167.92,419.8,730877.69,36.8,4,Supplier_08,82.4,-1.55,0,33.8,Supply Shock,Upward,0.794,C
2022-07-17,28,July,Q3,2022,SKU-1029,Food & Beverage Item 029,Food & Beverage,Central Depot,Europe,2099,2111,0.6,3.9,Ensemble,1794,2427,9725,1498,421,770,139.0,Low,High,115.12,287.81,607557.97,61.8,5,Supplier_07,93.4,-2.95,0,0,Competitor Promo,Stable,0.921,B
2024-10-15,42,October,Q4,2024,SKU-1002,Food & Beverage Item 002,Food & Beverage,West Coast Hub,Latin America,893,767,14.1,16.9,Holt-Winters,651,882,1216,273,1383,2662,40.9,High,Low,19.81,49.52,37984.34,30.6,43,Supplier_08,75.6,-1.1,0,57.4,Weather,Upward,0.71,C
2023-05-14,19,May,Q2,2023,SKU-1003,Food & Beverage Item 003,Food & Beverage,West Coast Hub,Europe,2187,2521,15.3,18.97,Prophet,2142,2899,214,1054,943,2109,2.9,High,Low,184.59,461.47,1163369.21,39.9,16,Supplier_11,74.4,-1.91,0,0,None,Stable,1.222,B
2024-12-24,52,December,Q4,2024,SKU-1001,Automotive Item 001,Automotive,West Coast Hub,Middle East & Africa,4435,4699,6.0,4.66,LSTM,3994,5403,9112,1704,6674,12439,61.6,Medium,Low,74.62,186.55,876600.18,36.8,39,Supplier_15,71.5,-2.72,0,0,Supply Shock,Downward,0.969,B
2024-07-18,29,July,Q3,2024,SKU-1017,Apparel Item 017,Apparel,East Coast Hub,Asia Pacific,2498,3030,21.3,22.24,Ensemble,2575,3484,4484,1784,4988,8485,53.9,High,Low,125.71,314.29,952291.12,56.3,42,Supplier_06,89.4,-0.47,0,23.6,Competitor Promo,Upward,0.911,C
2023-11-30,48,November,Q4,2023,SKU-1008,Apparel Item 008,Apparel,European DC,Latin America,1806,2463,36.4,11.85,Ensemble,2093,2832,5954,741,2345,4090,98.9,Low,Low,83.71,209.27,515431.38,33.1,29,Supplier_13,79.1,-2.0,1,0,Competitor Promo,Stable,0.847,B
2024-01-09,2,January,Q1,2024,SKU-1019,Automotive Item 019,Automotive,APAC Fulfillment,North America,3055,3917,28.2,21.2,Prophet,3329,4504,2175,377,2413,4144,21.4,High,Low,58.0,145.01,568006.81,37.2,17,Supplier_05,84.8,-2.07,0,0,Competitor Promo,Upward,1.046,B
2024-02-28,9,February,Q1,2024,SKU-1028,Home & Garden Item 028,Home & Garden,West Coast Hub,Europe,3590,3678,2.5,3.99,XGBoost,3126,4229,979,168,4706,10091,8.2,High,Low,69.69,174.22,640796.96,48.3,45,Supplier_02,89.6,-2.41,1,0,Holiday,Stable,1.255,A
2022-12-02,48,December,Q4,2022,SKU-1015,Food & Beverage Item 015,Food & Beverage,West Coast Hub,Europe,2015,2164,7.4,19.71,Holt-Winters,1839,2488,3136,225,1396,3478,46.7,Low,Low,166.77,416.92,902204.49,41.7,31,Supplier_07,72.2,-0.9,1,0,Weather,Stable,0.856,C
2023-11-30,48,November,Q4,2023,SKU-1021,Food & Beverage Item 021,Food & Beverage,European DC,Asia Pacific,2722,3340,22.7,12.28,ARIMA,2839,3840,8119,1772,1028,3024,89.5,Low,High,151.25,378.13,1262938.1,40.3,22,Supplier_10,83.8,-1.28,1,0,Competitor Promo,Stable,0.847,B
2023-12-01,48,December,Q4,2023,SKU-1014,Office Item 014,Office,Central Depot,North America,3240,2498,22.9,3.99,ARIMA,2123,2872,3979,1223,1729,3997,36.8,Low,Low,28.44,71.11,177621.84,34.2,21,Supplier_06,79.1,-1.24,0,0,Economic,Upward,0.852,C
2024-06-03,23,June,Q2,2024,SKU-1007,Food & Beverage Item 007,Food & Beverage,European DC,Asia Pacific,2960,4202,42.0,15.96,ARIMA,3571,4832,1427,623,4224,8664,14.5,High,Low,169.6,424.0,1781646.53,33.8,45,Supplier_04,99.0,-1.52,0,11.0,Economic,Stable,1.137,C
2022-07-15,28,July,Q3,2022,SKU-1008,Healthcare Item 008,Healthcare,West Coast Hub,Europe,3840,4805,25.1,12.93,Ensemble,4084,5525,1254,553,4419,7619,9.8,High,Low,62.56,156.41,751535.4,20.3,25,Supplier_10,72.6,-2.2,1,0,Holiday,Downward,0.931,A
2024-09-24,39,September,Q3,2024,SKU-1003,Automotive Item 003,Automotive,East Coast Hub,Asia Pacific,1722,2330,35.3,15.4,Holt-Winters,1980,2679,1665,1334,1367,2629,29.0,Medium,Low,181.11,452.77,1054956.84,36.2,22,Supplier_09,92.5,-1.37,0,0,Holiday,Stable,0.701,A
2024-03-18,12,March,Q1,2024,SKU-1013,Apparel Item 013,Apparel,European DC,Middle East & Africa,6396,6418,0.3,9.15,Prophet,5455,7380,8527,1756,10629,18304,40.0,High,Low,51.28,128.21,822848.19,41.1,36,Supplier_03,98.4,-1.04,0,40.2,Competitor Promo,Upward,1.292,B
2024-02-28,9,February,Q1,2024,SKU-1008,Food & Beverage Item 008,Food & Beverage,East Coast Hub,Middle East & Africa,2254,2643,17.3,16.14,Ensemble,2246,3039,42,171,1224,2651,0.6,High,Low,78.02,195.05,515526.56,57.7,19,Supplier_08,76.7,-2.84,0,0,Competitor Promo,Upward,1.255,A
2024-07-24,30,July,Q3,2024,SKU-1005,Home & Garden Item 005,Home & Garden,West Coast Hub,Europe,1121,1235,10.2,23.09,LSTM,1049,1420,5308,1823,170,394,142.1,Low,High,124.17,310.42,383372.55,22.0,6,Supplier_10,71.4,-1.61,0,0,Weather,Upward,0.882,B
2024-01-20,3,January,Q1,2024,SKU-1008,Sports Item 008,Sports,Central Depot,Asia Pacific,437,422,3.4,4.22,Holt-Winters,358,485,9229,1348,647,1113,633.6,Low,High,172.8,432.0,182302.02,35.6,32,Supplier_10,87.0,-2.11,1,0,Competitor Promo,Upward,1.101,A
2024-07-27,30,July,Q3,2024,SKU-1005,Office Item 005,Office,European DC,Asia Pacific,1089,1278,17.4,4.1,ARIMA,1086,1469,3970,1245,514,877,109.4,Low,High,54.64,136.6,174573.4,47.7,10,Supplier_02,90.3,-1.7,1,0,Holiday,Downward,0.868,A
2024-01-09,2,January,Q1,2024,SKU-1029,Food & Beverage Item 029,Food & Beverage,West Coast Hub,Europe,4626,4588,0.8,6.35,XGBoost,3899,5276,8847,417,7294,14078,57.4,Medium,Low,84.9,212.24,973767.58,36.2,44,Supplier_08,87.7,-1.15,0,25.0,None,Downward,1.046,A
2022-11-15,46,November,Q4,2022,SKU-1010,Apparel Item 010,Apparel,Central Depot,Latin America,2457,2684,9.2,10.42,ARIMA,2281,3086,4436,332,3251,6690,54.2,Medium,Low,38.48,96.21,258230.91,43.2,42,Supplier_13,93.5,-0.98,0,20.1,Weather,Stable,0.787,B
2024-04-15,16,April,Q2,2024,SKU-1013,Automotive Item 013,Automotive,West Coast Hub,Europe,4802,5098,6.2,16.81,Holt-Winters,4333,5862,2746,1977,1985,3745,17.2,Medium,Low,4.64,11.59,59105.94,43.2,11,Supplier_06,92.8,-1.08,0,0,Economic,Stable,1.29,C
2023-03-16,11,March,Q1,2023,SKU-1026,Automotive Item 026,Automotive,West Coast Hub,Middle East & Africa,2299,1966,14.5,11.77,Ensemble,1671,2260,4727,1987,3008,5996,61.7,Medium,Low,157.7,394.24,775073.71,29.0,39,Supplier_12,73.7,-2.55,0,0,None,Upward,1.288,B
2023-05-25,21,May,Q2,2023,SKU-1029,Automotive Item 029,Automotive,East Coast Hub,Latin America,972,1023,5.2,23.92,Holt-Winters,869,1176,4694,1175,804,1678,144.9,Low,High,42.36,105.89,108325.08,48.8,27,Supplier_13,90.7,-0.05,0,0,Economic,Stable,1.18,B
2024-04-30,18,April,Q2,2024,SKU-1028,Apparel Item 028,Apparel,East Coast Hub,Europe,163,223,36.8,6.82,XGBoost,189,256,3495,1968,14,35,643.3,Low,High,11.62,29.06,6480.17,36.4,4,Supplier_03,72.8,-0.56,0,0,Weather,Downward,1.262,B
2023-06-16,24,June,Q2,2023,SKU-1003,Food & Beverage Item 003,Food & Beverage,West Coast Hub,North America,6842,5669,17.1,8.78,XGBoost,4818,6519,2180,415,8226,14839,9.6,High,Low,49.21,123.03,697469.46,60.9,29,Supplier_02,79.7,-2.89,0,0,None,Stable,1.079,B
2024-06-21,25,June,Q2,2024,SKU-1015,Electronics Item 015,Electronics,European DC,Middle East & Africa,5629,5010,11.0,8.87,Prophet,4258,5761,9920,1856,1195,2883,52.9,Low,High,129.22,323.04,1618455.06,27.9,9,Supplier_11,81.4,-1.99,0,0,Supply Shock,Upward,1.049,A
2023-01-29,4,January,Q1,2023,SKU-1022,Healthcare Item 022,Healthcare,European DC,Europe,5210,4608,11.6,6.05,Holt-Winters,3916,5299,5590,1122,3137,8520,32.2,Medium,Low,10.88,27.2,125327.35,24.5,31,Supplier_05,79.9,-2.59,1,0,Weather,Downward,1.144,B
2022-01-14,2,January,Q1,2022,SKU-1028,Home & Garden Item 028,Home & Garden,APAC Fulfillment,Middle East & Africa,4405,4421,0.4,14.28,Ensemble,3757,5084,9556,1243,1284,3780,65.1,Low,High,197.54,493.85,2183303.9,64.0,17,Supplier_10,91.0,-2.96,1,0,None,Stable,1.072,C
2023-03-22,12,March,Q1,2023,SKU-1021,Apparel Item 021,Apparel,European DC,Asia Pacific,8446,6247,26.0,10.94,Prophet,5309,7184,9308,480,6278,12190,33.1,Medium,Low,179.35,448.37,2800997.35,63.3,21,Supplier_02,87.4,-1.01,0,0,Holiday,Stable,1.295,B
2022-08-20,33,August,Q3,2022,SKU-1015,Automotive Item 015,Automotive,West Coast Hub,Europe,2036,1944,4.5,22.23,ARIMA,1652,2235,7423,267,904,1989,109.4,Low,High,184.72,461.79,897715.64,42.7,16,Supplier_14,87.2,-1.79,1,0,None,Stable,0.774,C
2023-07-05,27,July,Q3,2023,SKU-1006,Apparel Item 006,Apparel,East Coast Hub,Asia Pacific,461,464,0.7,18.12,XGBoost,394,533,6637,1725,523,907,431.9,Low,High,143.63,359.07,166609.18,40.8,25,Supplier_13,87.8,-1.79,0,0,Economic,Downward,0.982,A
2022-06-10,23,June,Q2,2022,SKU-1000,Automotive Item 000,Automotive,European DC,Asia Pacific,2056,2160,5.1,15.19,ARIMA,1836,2484,901,1141,3924,7008,13.1,High,Low,186.72,466.8,1008288.0,61.4,45,Supplier_09,98.7,-0.71,1,0,None,Upward,1.109,B
2024-12-03,49,December,Q4,2024,SKU-1009,Sports Item 009,Sports,West Coast Hub,Asia Pacific,1195,1216,1.8,18.27,Ensemble,1033,1398,5462,887,643,1160,137.1,Low,High,115.2,288.01,350222.87,22.0,13,Supplier_03,88.6,-0.72,0,0,Supply Shock,Stable,0.866,A
2022-08-25,34,August,Q3,2022,SKU-1010,Apparel Item 010,Apparel,East Coast Hub,Europe,2924,2798,4.3,17.51,LSTM,2378,3217,976,1288,3143,6846,10.0,High,Low,4.42,11.04,30903.25,32.3,38,Supplier_03,98.1,-0.94,0,22.7,Weather,Upward,0.758,B
2023-09-13,37,September,Q3,2023,SKU-1014,Home & Garden Item 014,Home & Garden,APAC Fulfillment,Latin America,1189,1201,1.0,2.3,XGBoost,1020,1381,2921,259,699,1531,73.7,Low,Medium,116.68,291.7,350327.75,31.4,21,Supplier_09,97.7,-1.64,0,0,Supply Shock,Upward,0.714,C
2024-03-30,13,March,Q1,2024,SKU-1016,Automotive Item 016,Automotive,East Coast Hub,Middle East & Africa,4986,6205,24.4,4.25,Holt-Winters,5274,7135,7086,1124,7888,13705,42.6,High,Low,189.63,474.07,2941578.1,24.6,35,Supplier_03,78.9,-0.06,1,0,Economic,Upward,1.3,C
2022-03-22,12,March,Q1,2022,SKU-1019,Office Item 019,Office,West Coast Hub,Asia Pacific,61,82,34.4,21.94,ARIMA,69,94,250,1701,77,160,123.0,Low,Medium,95.74,239.34,19626.12,57.4,41,Supplier_06,88.1,-2.78,0,0,Weather,Upward,1.295,B
2022-04-23,16,April,Q2,2022,SKU-1004,Automotive Item 004,Automotive,West Coast Hub,Latin America,5250,6034,14.9,19.56,XGBoost,5128,6939,6377,1127,848,1898,36.4,Low,High,4.33,10.84,65378.73,40.7,6,Supplier_13,80.7,-1.6,1,0,Supply Shock,Upward,1.279,B
